Marca de Tiempo, Uso de Memoria (%)
13: 51: 46,84.4
13: 51: 47,84.3
13: 51: 48,84.3
13: 51: 49,84.4
13: 51: 50,84.2
13: 51: 51,84.2
13: 51: 52,84.1
13: 51: 53,84.2
13: 51: 54,84.2
13: 51: 55,84.1
13: 51: 56,84.1
13: 51: 57,84.2
13: 51: 58,84.2
13: 51: 59,84.2
13: 52: 00,84.3
13: 52: 01,84.2
13: 52: 02,84.4
13: 52: 03,84.4
13: 52: 04,84.4
13: 52: 05,84.4
13: 52: 06,84.2
13: 52: 07,84.3
13: 52: 08,84.4
13: 52: 09,84.3
13: 52: 10,84.4
13: 52: 11,84.4
13: 52: 12,84.4
13: 52: 13,84.4
